"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
30,50,0.2,"TT",15.6290941085283
30,75,0.2,"TT",13.6974044304518
30,100,0.2,"TT",17.2663289927316
50,50,0.2,"TT",17.1686446102535
50,75,0.2,"TT",12.0670668556444
50,100,0.2,"TT",14.5638613595386
75,50,0.2,"TT",15.3008124385348
75,75,0.2,"TT",8.97222048980281
75,100,0.2,"TT",16.0420632554452
30,50,0.2,"TT",17.1291623194256
30,75,0.2,"TT",14.1474535734162
30,100,0.2,"TT",18.436516192398
50,50,0.2,"TT",16.9138402613624
50,75,0.2,"TT",14.718403302647
50,100,0.2,"TT",14.3885441536518
75,50,0.2,"TT",16.5402807628102
75,75,0.2,"TT",9.49861026980012
75,100,0.2,"TT",16.8402948205797
30,50,0.2,"TT",17.7878440518955
30,75,0.2,"TT",15.1996941296224
30,100,0.2,"TT",16.6255070683042
50,50,0.2,"TT",17.1551581149694
50,75,0.2,"TT",12.455975937813
50,100,0.2,"TT",14.6167711657406
75,50,0.2,"TT",16.2668231030484
75,75,0.2,"TT",8.32523936123996
75,100,0.2,"TT",15.8210293105743
30,50,0.2,"TT",17.5126275096415
30,75,0.2,"TT",14.2668041792686
30,100,0.2,"TT",16.5638612682533
50,50,0.2,"TT",16.175036130519
50,75,0.2,"TT",13.0604499834285
50,100,0.2,"TT",14.3172532017969
75,50,0.2,"TT",16.4492795978718
75,75,0.2,"TT",9.44876022168781
75,100,0.2,"TT",17.7625525045056
30,50,0.2,"TT",15.997442067691
30,75,0.2,"TT",13.1816152102653
30,100,0.2,"TT",16.8434073281822
50,50,0.2,"TT",18.9374307493054
50,75,0.2,"TT",11.3226115815231
50,100,0.2,"TT",14.6154482628151
75,50,0.2,"TT",15.6586031392856
75,75,0.2,"TT",9.53602044208579
75,100,0.2,"TT",17.5674124493383
30,50,0.2,"TT",17.0828534884365
30,75,0.2,"TT",14.2061074045253
30,100,0.2,"TT",17.7191243777992
