"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
70,75,0.2,"TT",9.43438533683766
80,75,0.2,"TT",11.1832475894762
70,75,0.2,"TT",10.6160969624037
80,75,0.2,"TT",10.1120262315907
70,75,0.2,"TT",9.00882142697217
80,75,0.2,"TT",10.5015772397516
70,75,0.2,"TT",11.8111576038883
80,75,0.2,"TT",10.1248956546489
70,75,0.2,"TT",9.899061848265
80,75,0.2,"TT",10.6624759583687
70,75,0.2,"TT",9.93915074709663
80,75,0.2,"TT",9.64399774317937
70,75,0.2,"TT",12.0389307612313
80,75,0.2,"TT",11.3532569044762
70,75,0.2,"TT",9.51967266538074
80,75,0.2,"TT",10.60824863956
70,75,0.2,"TT",11.1299338208819
80,75,0.2,"TT",10.8207945874095
70,75,0.2,"TT",11.1260651717127
80,75,0.2,"TT",10.8675924004582
70,75,0.2,"TT",10.6116080386236
80,75,0.2,"TT",9.77388487342613
70,75,0.2,"TT",10.2342669188957
80,75,0.2,"TT",9.47632653268537
70,75,0.2,"TT",11.0186319402569
80,75,0.2,"TT",11.3580965802634
70,75,0.2,"TT",10.4499607624894
80,75,0.2,"TT",11.3140675037858
70,75,0.2,"TT",8.46466339842045
80,75,0.2,"TT",10.8476034707201
70,75,0.2,"TT",10.4840385065437
80,75,0.2,"TT",9.98259500628687
70,75,0.2,"TT",10.1623573159505
80,75,0.2,"TT",10.1286218616601
70,75,0.2,"TT",11.2397084539902
80,75,0.2,"TT",9.34169684022219
70,75,0.2,"TT",9.65704159812881
80,75,0.2,"TT",8.5277519110562
70,75,0.2,"TT",9.59746786967058
80,75,0.2,"TT",11.2883477619599
70,75,0.2,"TT",8.99672013082607
80,75,0.2,"TT",11.6784582695109
70,75,0.2,"TT",9.90131715080668
80,75,0.2,"TT",11.3791279428435
70,75,0.2,"TT",11.0422636038874
80,75,0.2,"TT",10.1531676667459
70,75,0.2,"TT",9.87907823986971
80,75,0.2,"TT",11.6005337860391
70,75,0.2,"TT",9.45495224619725
